Date,Close
2021-05-24,307.8549194
2021-05-25,312.4975281
2021-05-26,324.5540466
2021-05-27,332.780365
2021-05-28,337.6208496
2021-05-29,331.7597351
2021-05-30,335.118927
2021-05-31,340.4800415
2021-06-01,331.2507629
2021-06-02,341.0856628
2021-06-03,345.9622192
2021-06-04,355.2333374
2021-06-05,353.4125977
2021-06-06,274.0818176
2021-06-07,357.8748779
2021-06-08,340.0205994
2021-06-09,347.9873962
2021-06-10,345.7976074
2021-06-11,353.3444214
2021-06-12,357.6851501
2021-06-13,362.378418
2021-06-14,362.9970398
2021-06-15,359.3468628
2021-06-16,363.6134033
2021-06-17,380.5232544
2021-06-18,377.7197266
2021-06-19,368.5318298
2021-06-20,379.5456238
2021-06-21,377.0231628
2021-06-22,384.8686523
2021-06-23,388.7267151
2021-06-24,401.1125183
2021-06-25,447.7419434
2021-06-26,396.0545959
2021-06-27,449.725769
2021-06-28,439.5332336
2021-06-29,401.0385132
2021-06-30,440.5425415
2021-07-01,398.3303223
2021-07-02,413.9711609
2021-07-03,416.1766052
2021-07-04,424.1588745
2021-07-05,426.2251892
2021-07-06,410.7590332
2021-07-07,437.5426025
2021-07-08,439.3570557
2021-07-09,453.7010193
2021-07-10,452.6003418
2021-07-11,440.3263855
2021-07-12,450.7947693
2021-07-13,461.8553162
2021-07-14,450.2393799
2021-07-15,463.2424622
2021-07-16,462.0557251
2021-07-17,512.3979492
2021-07-18,482.7192993
2021-07-19,573.6488647
2021-07-20,478.6722717
2021-07-21,483.481781
2021-07-22,472.3665161
2021-07-23,479.6362
2021-07-24,475.2754211
2021-07-25,504.1684265
2021-07-26,482.3819885
2021-07-27,499.403656
2021-07-28,521.0350952
2021-07-29,518.6497803
2021-07-30,527.3408813
